timestamp,ea-total,context_ea-total,date (America/Bogota)
1645743600000,247.7199999999964,{},2022-02-24 18:00:00-05:00
1645740000000,211.64999999999588,{},2022-02-24 17:00:00-05:00
1645736400000,282.3099999999995,{},2022-02-24 16:00:00-05:00
1645732800000,256.5200000000026,{},2022-02-24 15:00:00-05:00
1645729200000,255.84000000000287,{},2022-02-24 14:00:00-05:00
1645725600000,253.40999999999735,{},2022-02-24 13:00:00-05:00
1645722000000,252.36999999999705,{},2022-02-24 12:00:00-05:00
1645718400000,250.61000000000013,{},2022-02-24 11:00:00-05:00
1645714800000,209.56000000000483,{},2022-02-24 10:00:00-05:00
1645711200000,170.10999999999308,{},2022-02-24 09:00:00-05:00
1645707600000,88.2300000000057,{},2022-02-24 08:00:00-05:00
1645704000000,68.8100000000012,{},2022-02-24 07:00:00-05:00
1645700400000,71.01999999999339,{},2022-02-24 06:00:00-05:00
1645696800000,18.740000000002965,{},2022-02-24 05:00:00-05:00
1645693200000,4.330000000003793,{},2022-02-24 04:00:00-05:00
1645689600000,5.399999999998954,{},2022-02-24 03:00:00-05:00
1645686000000,5.580000000000382,{},2022-02-24 02:00:00-05:00
1645682400000,4.560000000001537,{},2022-02-24 01:00:00-05:00
1645678800000,4.969999999995252,{},2022-02-24 00:00:00-05:00
1645675200000,5.120000000002392,{},2022-02-23 23:00:00-05:00
1645671600000,21.91999999999541,{},2022-02-23 22:00:00-05:00
1645668000000,67.1800000000062,{},2022-02-23 21:00:00-05:00
1645664400000,71.04999999999495,{},2022-02-23 20:00:00-05:00
1645660800000,181.87000000000342,{},2022-02-23 19:00:00-05:00
1645657200000,247.04000000000315,{},2022-02-23 18:00:00-05:00
1645653600000,250.9199999999953,{},2022-02-23 17:00:00-05:00
1645650000000,257.7200000000024,{},2022-02-23 16:00:00-05:00
1645646400000,257.75999999999567,{},2022-02-23 15:00:00-05:00
1645642800000,261.10000000000184,{},2022-02-23 14:00:00-05:00
1645639200000,257.1399999999969,{},2022-02-23 13:00:00-05:00
1645635600000,257.7200000000041,{},2022-02-23 12:00:00-05:00
1645632000000,246.479999999999,{},2022-02-23 11:00:00-05:00
1645628400000,224.89000000000806,{},2022-02-23 10:00:00-05:00
1645624800000,169.7299999999958,{},2022-02-23 09:00:00-05:00
1645621200000,96.73999999999683,{},2022-02-23 08:00:00-05:00
1645617600000,69.13999999999999,{},2022-02-23 07:00:00-05:00
1645614000000,60.09000000000435,{},2022-02-23 06:00:00-05:00
1645610400000,42.459999999996285,{},2022-02-23 05:00:00-05:00
1645606800000,5.80999999999608,{},2022-02-23 04:00:00-05:00
1645603200000,5.569999999995275,{},2022-02-23 03:00:00-05:00
1645599600000,4.220000000009577,{},2022-02-23 02:00:00-05:00
1645596000000,5.159999999994852,{},2022-02-23 01:00:00-05:00
1645592400000,5.420000000003711,{},2022-02-23 00:00:00-05:00
1645588800000,5.519999999990887,{},2022-02-22 23:00:00-05:00
1645585200000,14.620000000006598,{},2022-02-22 22:00:00-05:00
1645581600000,67.04000000000042,{},2022-02-22 21:00:00-05:00
1645578000000,73.06000000000415,{},2022-02-22 20:00:00-05:00
1645574400000,184.85999999999353,{},2022-02-22 19:00:00-05:00
